electrode,x,y,z,w,h,d,default,all,bank0,double_length
223.0,2.0,2420.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
224.0,-14.0,2440.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
225.0,18.0,2440.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
226.0,-30.0,2460.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
227.0,2.0,2460.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
228.0,-14.0,2480.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
229.0,18.0,2480.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
230.0,-30.0,2500.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
231.0,2.0,2500.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
232.0,-14.0,2520.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
233.0,18.0,2520.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
234.0,-30.0,2540.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
235.0,2.0,2540.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
236.0,-14.0,2560.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
237.0,18.0,2560.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
238.0,-30.0,2580.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
239.0,2.0,2580.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
240.0,-14.0,2600.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
241.0,18.0,2600.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
242.0,-30.0,2620.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
243.0,2.0,2620.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
244.0,-14.0,2640.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
245.0,18.0,2640.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
246.0,-30.0,2660.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
247.0,2.0,2660.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
248.0,-14.0,2680.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
249.0,18.0,2680.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
250.0,-30.0,2700.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
251.0,2.0,2700.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
252.0,-14.0,2720.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
253.0,18.0,2720.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
254.0,-30.0,2740.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
255.0,2.0,2740.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
256.0,-14.0,2760.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
257.0,18.0,2760.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
258.0,-30.0,2780.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
259.0,2.0,2780.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
260.0,-14.0,2800.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
261.0,18.0,2800.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
262.0,-30.0,2820.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
263.0,2.0,2820.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
264.0,-14.0,2840.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
265.0,18.0,2840.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
266.0,-30.0,2860.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
267.0,2.0,2860.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
268.0,-14.0,2880.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
269.0,18.0,2880.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
270.0,-30.0,2900.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
271.0,2.0,2900.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
272.0,-14.0,2920.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
273.0,18.0,2920.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
274.0,-30.0,2940.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
