electrode,x,y,z,w,h,d,default,all,bank0,double_length
547,2,4295,0,12,12,24,0,1,0,0
548,-30,4310,0,12,12,24,0,1,0,1
549,2,4310,0,12,12,24,0,1,0,0
550,-30,4325,0,12,12,24,0,1,0,1
551,2,4325,0,12,12,24,0,1,0,0
552,-30,4340,0,12,12,24,0,1,0,1
553,2,4340,0,12,12,24,0,1,0,0
554,-30,4355,0,12,12,24,0,1,0,1
555,2,4355,0,12,12,24,0,1,0,0
556,-30,4370,0,12,12,24,0,1,0,1
557,2,4370,0,12,12,24,0,1,0,0
558,-30,4385,0,12,12,24,0,1,0,1
559,2,4385,0,12,12,24,0,1,0,0
560,-30,4400,0,12,12,24,0,1,0,1
561,2,4400,0,12,12,24,0,1,0,0
562,-30,4415,0,12,12,24,0,1,0,1
563,2,4415,0,12,12,24,0,1,0,0
564,-30,4430,0,12,12,24,0,1,0,1
565,2,4430,0,12,12,24,0,1,0,0
566,-30,4445,0,12,12,24,0,1,0,1
567,2,4445,0,12,12,24,0,1,0,0
568,-30,4460,0,12,12,24,0,1,0,1
569,2,4460,0,12,12,24,0,1,0,0
570,-30,4475,0,12,12,24,0,1,0,1
571,2,4475,0,12,12,24,0,1,0,0
572,-30,4490,0,12,12,24,0,1,0,1
573,2,4490,0,12,12,24,0,1,0,0
574,-30,4505,0,12,12,24,0,1,0,1
575,2,4505,0,12,12,24,0,1,0,0
576,-30,4520,0,12,12,24,0,1,0,1
577,2,4520,0,12,12,24,0,1,0,0
578,-30,4535,0,12,12,24,0,1,0,1
579,2,4535,0,12,12,24,0,1,0,0
580,-30,4550,0,12,12,24,0,1,0,1
581,2,4550,0,12,12,24,0,1,0,0
582,-30,4565,0,12,12,24,0,1,0,1
583,2,4565,0,12,12,24,0,1,0,0
584,-30,4580,0,12,12,24,0,1,0,1
585,2,4580,0,12,12,24,0,1,0,0
586,-30,4595,0,12,12,24,0,1,0,1
587,2,4595,0,12,12,24,0,1,0,0
588,-30,4610,0,12,12,24,0,1,0,1
589,2,4610,0,12,12,24,0,1,0,0
590,-30,4625,0,12,12,24,0,1,0,1
591,2,4625,0,12,12,24,0,1,0,0
592,-30,4640,0,12,12,24,0,1,0,1
